county_code,taxrate,tax_st_diff_top20
13227,0.0201775,0
13229,0.0155215,0
13231,0.0119728,0
13233,0.0201893,0
13235,0.0179144,0
13237,0.0239332,0
13239,0.0238416,0
13241,0.0321958,0
13243,0.0185535,0
13245,0.0230067,0
13247,0.0244811,0
13249,0.0154728,0
13251,0.0201338,0
13253,0.018791,0
13255,0.022668,0
13257,0.0222816,0
13259,0.0156853,0
13261,0.0207645,0
13263,0.0209673,0
13265,0.029775,0
13267,0.0211823,0
13269,0.0180768,0
13271,0.0203659,0
13273,0.0190892,0
13275,0.018708,0
13277,0.0181638,0
13279,0.0193798,0
13281,0.0135279,0
13283,0.0151032,0
13285,0.0196554,0
13287,0.0260082,0
13289,0.0263894,0
13291,0.0175038,0
13293,0.015731,0
13295,0.0119812,0
13297,0.0190464,0
13299,0.0231144,0
13301,0.0200032,0
13303,0.0240991,0
13305,0.0264023,0
13307,0.0166562,0
13309,0.0124185,0
13311,0.0290966,0
13313,0.0288315,0
13315,0.0175004,0
13317,0.0195663,0
13319,0.028017,0
13321,0.0170756,0
15001,0.020113,1.05
15003,0.0153621,1.05
15007,0.0213821,1.05
15009,0.0207933,1.05
16001,0.0171006,0.4
16003,0.0107834,0.4
16005,0.0148525,0.4
16007,0.0150887,0.4
16009,0.0210273,0.4
16011,0.0140888,0.4
16013,0.0311595,0.4
16015,0.0144222,0.4
16017,0.0212328,0.4
16019,0.0155473,0.4
16021,0.0155046,0.4
16023,0.0166629,0.4
16025,0.0243847,0.4
16027,0.0135604,0.4
16029,0.0247699,0.4
16031,0.0132467,0.4
16033,0.0454674,0.4
16035,0.0127229,0.4
16037,0.0144063,0.4
16039,0.0138748,0.4
16041,0.0139087,0.4
16043,0.0179247,0.4
16045,0.0100309,0.4
16047,0.0122223,0.4
16049,0.0110291,0.4
16051,0.0129621,0.4
16053,0.0125662,0.4
16055,0.0205738,0.4
16057,0.0190223,0.4
16059,0.0117004,0.4
16061,0.0243309,0.4
16063,0.0186872,0.4
16065,0.0151687,0.4
16067,0.0117747,0.4
16069,0.0221915,0.4
16071,0.0186963,0.4
16073,0.0163094,0.4
16075,0.0145474,0.4
16077,0.0335542,0.4
16079,0.0210724,0.4
16081,0.0155524,0.4
16083,0.0158376,0.4
16085,0.0367466,0.4
16087,0.0176083,0.4
17001,0.014642,0
17003,0.009483,0
17005,0.0130838,0
17007,0.0170675,0
17009,0.0201782,0
17011,0.0177526,0
17013,0.0122618,0
17015,0.0168415,0
17017,0.0168946,0
17019,0.0258149,0
17021,0.0178197,0
17023,0.0114203,0
17025,0.0146084,0
17027,0.0118864,0
17029,0.021065,0
17031,0.0371153,0
17033,0.0160224,0
17035,0.0116645,0
17037,0.0286869,0
17039,0.0383402,0
17041,0.0224325,0
17043,0.0277994,0
17045,0.0161281,0
17047,0.0101078,0
17049,0.0128211,0
17051,0.0103032,0
17053,0.025465,0
17055,0.0118038,0
17057,0.0173084,0
17059,0.0174123,0
17061,0.0137607,0
17063,0.0312655,0
17065,0.0106484,0
17067,0.0172458,0
17069,0.0080407,0
17071,0.0193289,0
17073,0.0140445,0
17075,0.0193575,0
17077,0.0191011,0
17079,0.0222504,0
17081,0.0191827,0
17083,0.012032,0
17085,0.02051,0
17087,0.0113376,0
17089,0.0304634,0
17091,0.0160813,0
17093,0.0191757,0
17095,0.0196234,0
17097,0.0269699,0
17099,0.0186977,0
17101,0.0089783,0
17103,0.0220653,0
17105,0.0192089,0
17107,0.0210029,0
17109,0.0209479,0
17111,0.0227749,0
17113,0.0259555,0
17115,0.0171613,0
17117,0.0145937,0
17119,0.0183414,0
17121,0.0136045,0
17123,0.0172056,0
17125,0.0203953,0
17127,0.013935,0
17129,0.0141164,0
17131,0.0144,0
17133,0.0137852,0
17135,0.0168327,0
17137,0.0148402,0
17139,0.0164268,0
17141,0.0305408,0
17143,0.0197276,0
17145,0.0085786,0
17147,0.0185634,0
17149,0.0154907,0
17151,0.0145288,0
17153,0.0071296,0
17155,0.0162461,0
17157,0.0131326,0
17159,0.0133548,0
17161,0.019268,0
17163,0.0152875,0
17165,0.0136261,0
17167,0.0190436,0
17169,0.0139119,0
17171,0.0130493,0
17173,0.0163035,0
17175,0.0242323,0
17177,0.0159872,0
17179,0.0165563,0
17181,0.0174106,0
17183,0.0143797,0
17185,0.0112784,0
17187,0.0184039,0
17189,0.014655,0
17191,0.0138683,0
17193,0.0133115,0
17195,0.0152903,0
17197,0.0257791,0
17199,0.0137646,0
17201,0.0201235,0
17203,0.0137189,0
18001,0.0165594,0
18003,0.0175166,0
18005,0.0234032,0
18007,0.0249649,0
18009,0.0191852,0
18011,0.0158117,0
18013,0.0196178,0
18015,0.0195561,0
18017,0.0209982,0
18019,0.018475,0
18021,0.0197424,0
18023,0.0211312,0
18025,0.0202716,0
18027,0.0152053,0
18029,0.0183295,0
18031,0.0157896,0
18033,0.0197526,0
18035,0.0189267,0
18037,0.0202821,0
18039,0.021986,0
18041,0.0175478,0
18043,0.0151998,0
18045,0.0149937,0
18047,0.0132354,0
18049,0.0185116,0
18051,0.0229868,0
18053,0.0191204,0
18055,0.0167396,0
18057,0.0179783,0
18059,0.0176607,0
18061,0.0133819,0
18063,0.0152879,0
18065,0.0170972,0
18067,0.0206363,0
18069,0.0159983,0
18071,0.018505,0
18073,0.0260639,0
18075,0.0219625,0
18077,0.0181265,0
18079,0.0155023,0
18081,0.0176261,0
18083,0.015592,0
18085,0.0222932,0
18087,0.0206286,0
18089,0.0256777,0
18091,0.0200647,0
18093,0.0172729,0
18095,0.0183896,0
18097,0.0265513,0
18099,0.0193818,0
18101,0.0144735,0
18103,0.0187156,0
18105,0.0211083,0
18107,0.022445,0
18109,0.0167498,0
18111,0.0215698,0
18113,0.017164,0
18115,0.0119939,0
18117,0.0168952,0
18119,0.0140303,0
18121,0.0200049,0
18123,0.0152865,0
18125,0.0242252,0
18127,0.0171845,0
18129,0.0296941,0
18131,0.0222867,0
18133,0.0216252,0
18135,0.0186412,0
18137,0.016567,0
18139,0.0197695,0
18141,0.0177819,0
18143,0.0168796,0
18145,0.0170765,0
18147,0.0259079,0
18149,0.0186904,0
18151,0.0232061,0
18153,0.0279475,0
18155,0.0140957,0
18157,0.0225667,0
18159,0.0190353,0
18161,0.0184178,0
18163,0.019138,0
18165,0.0231518,0
18167,0.0172731,0
18169,0.0191499,0
18171,0.0207749,0
18173,0.027246,0
18175,0.0172135,0
18177,0.0239309,0
18179,0.0193457,0
18181,0.0254355,0
18183,0.0172468,0
19001,0.0235531,2.86
19003,0.0244225,2.86
19005,0.0251833,2.86
19007,0.0226199,2.86
19009,0.0256742,2.86
19011,0.0219462,2.86
19013,0.0252121,2.86
19015,0.0215586,2.86
19017,0.0245583,2.86
19019,0.0179234,2.86
19021,0.0232211,2.86
19023,0.0217334,2.86
19025,0.0266633,2.86
19027,0.0226461,2.86
19029,0.024373,2.86
